kind	id	from_x	from_z	to_x	to_z	moved	refusal
kezamba_repair_keep	shore_5	128	-156	128	-156	0	-
kezamba_repair_keep	shore_6	188	-112	188	-112	0	-
kezamba_repair_keep	shore_7	128	-48	128	-48	0	-
kezamba_repair_keep	shore_8	160	-148	160	-148	0	-
kezamba_repair_keep	shore_9	164	-80	164	-80	0	-
kezamba_repair_keep	shore_f1	96	-148	96	-148	0	-
kezamba_repair_keep	shore_f2	60	-116	60	-116	0	-
kezamba_repair_keep	shore_f3	128	-184	128	-184	0	-
kezamba_repair_keep	shore_f4	108	-88	108	-88	0	-
kezamba_repair_keep	vine_1	-136	-112	-136	-112	0	-
kezamba_repair_keep	vine_2	-104	-116	-104	-116	0	-
kezamba_repair_keep	vine_3	-128	-80	-128	-80	0	-
kezamba_repair_keep	vine_4	-168	-108	-168	-108	0	-
kezamba_repair_keep	vine_5	-128	-156	-128	-156	0	-
kezamba_repair_keep	vine_6	-160	-144	-160	-144	0	-
kezamba_repair_keep	vine_7	-128	-48	-128	-48	0	-
kezamba_repair_keep	vine_8	-96	-148	-96	-148	0	-
kezamba_repair_keep	vine_9	-200	-112	-200	-112	0	-
kezamba_repair_keep	vine_f1	-72	-116	-72	-116	0	-
kezamba_repair_keep	vine_f2	-160	-76	-160	-76	0	-
kezamba_repair_keep	vine_f3	-128	-184	-128	-184	0	-
kezamba_repair_keep	vine_f4	-84	-84	-84	-84	0	-
kezamba_repair_keep	canopy_1	-136	112	-136	112	0	-
kezamba_repair_keep	canopy_2	-168	112	-168	112	0	-
kezamba_repair_keep	canopy_3	-136	80	-136	80	0	-
kezamba_repair_keep	canopy_4	-136	144	-136	144	0	-
kezamba_repair_keep	canopy_5	-104	116	-104	116	0	-
kezamba_repair_keep	canopy_6	-200	112	-200	112	0	-
kezamba_repair_keep	canopy_7	-168	80	-168	80	0	-
kezamba_repair_keep	canopy_8	-168	144	-168	144	0	-
kezamba_repair_keep	canopy_9	-136	48	-136	48	0	-
kezamba_repair_keep	canopy_10	-136	176	-136	176	0	-
kezamba_repair_keep	canopy_11	-104	148	-104	148	0	-
kezamba_repair_keep	canopy_f1	-72	116	-72	116	0	-
kezamba_repair_keep	canopy_f2	-200	80	-200	80	0	-
kezamba_repair_keep	canopy_f3	-196	140	-196	140	0	-
kezamba_repair_keep	canopy_f4	-112	92	-112	92	0	-
kezamba_repair_keep	totem_1	32	184	32	184	0	-
kezamba_repair_keep	totem_2	68	184	68	184	0	-
kezamba_repair_keep	totem_3	-32	184	-32	184	0	-
kezamba_repair_keep	totem_4	100	180	100	180	0	-
kezamba_repair_keep	totem_5	-64	184	-64	184	0	-
kezamba_repair_keep	totem_6	-46	152	-46	152	0	-
kezamba_repair_keep	totem_7	-100	184	-100	184	0	-
kezamba_repair_keep	totem_f1	32	214	32	214	0	-
kezamba_repair_move	totem_f2	60	158	60	158	0	reach 8->5 rises 12 past the clear
		{id = "totem_f2", kind = "fill", x = 60, z = 158, reach = 5},
kezamba_repair_keep	totem_f3	56	210	56	210	0	-
kezamba_repair_keep	totem_f4	32	160	32	160	0	-
kezamba_repair	52	moved	1	unrepairable	0
exit=0
